AKey,BranchMstrKey,QKey,Answer,PresentationOrder,Details,StartDte,EndDte,Notes,author,created,userid,stamp
{43E1E273-F450-4691-A911-509190DEA55E},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},Standforshire Bull Terrier,6,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:09:41.520000000,,
{BC3D932B-B4BE-4E2D-BBEA-61AF67E3546A},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{1DBB66A4-B6B4-4C71-85F0-464D77A4836E},Abysinnian,1,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:10:41.680000000,,
{99E032C2-E8B3-40B4-A777-6C0251C50EC1},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{5B9AF381-9041-4C4F-8EDD-37FB1B5F4568},Appaloosa,1,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:12:37.793000000,,
{06BFFB65-36D5-473E-8572-891551DD0CBF},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{E6461B2B-C9C2-4937-8CB5-06E7A348F3A6},Horses,3,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:07:08.637000000,,
{9C3319F6-DF66-4D32-AD55-925E7805AFC0},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9F42C405-F94C-46CB-9974-64A7A4518EF5},0-1000,1,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 21:31:12.277000000,,
{E4C57840-E311-45DB-9C1E-93124FFD0377},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},Collie,3,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:09:09.403000000,,
{9FC760B4-8A73-42FA-AFFF-9389BE3B0254},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{9959BFBA-9FB2-4DDA-A36F-B32A74557726},Akita,1,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:10:25.403000000,,
{538233B1-ADB0-439E-9957-BCA696862BE5},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{D9909C1E-80FB-415D-BAAB-FC17F892B158},Seal point,3,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:24:55.700000000,,
{80355647-2087-4AD3-A5A0-C14E5018C3D3},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{D9909C1E-80FB-415D-BAAB-FC17F892B158},Chocolate point,1,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:25:03.803000000,,
{A18555E5-C217-453D-A26C-CF5C9B9CEC5C},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{1DBB66A4-B6B4-4C71-85F0-464D77A4836E},Japanese Bobtail,3,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:10:56.450000000,,
{4A0FB04C-6001-4061-9689-D292EBAB1E60},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{1DBB66A4-B6B4-4C71-85F0-464D77A4836E},American tabby,2,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:11:34.360000000,,
{B28D4FE6-B767-4D42-9550-F2D87BD77CF4},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{5B9AF381-9041-4C4F-8EDD-37FB1B5F4568},Thoroughbred,4,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:12:55.687000000,,
{21527E1F-1EE3-42F3-A032-F680D14951C7},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{D9909C1E-80FB-415D-BAAB-FC17F892B158},Flame point,2,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:24:53.270000000,,
{85BD68AF-3CF3-49D3-ACE6-F6CD3612181E},{9F534B31-F454-4F8E-BC7C-9C80B5EF763D},{5B9AF381-9041-4C4F-8EDD-37FB1B5F4568},Arabian,2,,2019-04-10,2019-05-05,,irenesatterfield,2019-04-08 20:12:44.353000000,,
